system_id,RH,rh_tag,passed,final_step,final_total_water,final_interlayer_water,final_external_water,final_basal_spacing,final1m_delta_total_fit,final1m_delta_interlayer_fit,final1m_delta_external_fit,final1m_delta_basal_fit,continuation_segments,ion_count_stable,fatal_errors,source_restart_file
Mt_Na_LC040_N16,0.90,rh0p90,True,8100000,517.0,282.0,235.0,19.4091,1.472587292946342,-1.845292432118794,3.3178797250653345,-0.012207987222363678,,,,examples/Mt_Na_LC040_N16/rh_0p90/restart.gcmc_rh0p90.8100000
Mt_Na_LC040_N16,0.30,rh0p30,True,38100000,102.0,48.0,54.0,12.1171,0.9017928179605033,0.544688844090053,0.35710397387044845,0.01604739452164679,14,True,,examples/Mt_Na_LC040_N16/rh_0p30_from_strict_rh09/restart.gcmc_rh0p30.38100000
Mt_Na_LC040_N16,0.10,rh0p10,True,40100000,82.0,41.0,41.0,12.0497,2.444884456860509,0.8902235489061897,1.5546609079543197,0.023761723306636066,1,True,,examples/Mt_Na_LC040_N16/rh_0p10_from_strict_rh03/restart.gcmc_rh0p10.40100000
Mt_K_LC040_N16,0.90,rh0p90,True,42100000,456.0,247.0,209.0,18.3833,-3.849192723444099,-1.4713789204806853,-2.3778138029633946,-0.06899455873467615,,,,examples/Mt_K_LC040_N16/rh_0p90/restart.gcmc_rh0p90.42100000
Mt_K_LC040_N16,0.30,rh0p30,True,66100000,84.0,39.0,45.0,12.127,3.940335113987814,4.402232498040863,-0.4618973840530527,0.0824763200870996,12,True,,examples/Mt_K_LC040_N16/rh_0p30_from_strict_rh09/restart.gcmc_rh0p30.66100000
Mt_K_LC040_N16,0.10,rh0p10,True,68100000,68.0,32.0,36.0,12.1009,2.458930291265601,2.231349488834518,0.22758080243109582,-0.013878845705194787,1,True,,examples/Mt_K_LC040_N16/rh_0p10_from_strict_rh03/restart.gcmc_rh0p10.68100000
Mt_Ca_LC040_N8,0.90,rh0p90,True,10200000,510.0,267.0,243.0,18.5393,0.34854965393893833,0.07578050691831886,0.272769147020701,-0.0005095479370911172,,,,examples/Mt_Ca_LC040_N8/rh_0p90/restart.gcmc_rh0p90.10200000
Mt_Ca_LC040_N8,0.30,rh0p30,True,26200000,174.0,82.0,92.0,14.2682,0.2588549175375447,-3.4611615928981023,3.7200165104356895,-0.029724049603092682,8,True,,examples/Mt_Ca_LC040_N8/rh_0p30_from_strict_rh09/restart.gcmc_rh0p30.26200000
Mt_Ca_LC040_N8,0.10,rh0p10,True,34200000,138.0,65.0,73.0,14.3985,0.5491873396065243,-0.11922209527000009,0.6684094348765007,0.009739180579899203,4,True,,examples/Mt_Ca_LC040_N8/rh_0p10_from_strict_rh03/restart.gcmc_rh0p10.34200000
Mt_Na_LC030_N12,0.90,rh0p90,True,9100000,506.0,302.0,204.0,20.333,-2.2150304785035297,-0.4004019932163961,-1.8146284852871302,-0.09849660160199364,,,,examples/Mt_Na_LC030_N12/rh_0p90/restart.gcmc_rh0p90.9100000
Mt_Na_LC030_N12,0.30,rh0p30,True,27100000,79.0,40.0,39.0,11.9184,-3.741587753563817,-4.418049016851407,0.6764612632875541,-0.0843429612303841,9,True,,examples/Mt_Na_LC030_N12/rh_0p30_from_strict_rh09/restart.gcmc_rh0p30.27100000
Mt_Na_LC030_N12,0.10,rh0p10,True,33100000,63.0,32.0,31.0,12.0774,-2.851196707484207,0.8202336585570109,-3.671430366041213,0.009120059581140637,3,True,,examples/Mt_Na_LC030_N12/rh_0p10_from_strict_rh03/restart.gcmc_rh0p10.33100000
Mt_Na_LC050_N20,0.90,rh0p90,True,12100000,541.0,288.0,253.0,19.3498,-4.351385141804416,-0.7433644200111674,-3.6080207217931908,-0.003028887280380039,,,,examples/Mt_Na_LC050_N20/rh_0p90/restart.gcmc_rh0p90.12100000
Mt_Na_LC050_N20,0.30,rh0p30,True,32100000,238.0,142.0,96.0,15.0139,3.3066574144418177,-1.0843288448079023,4.390986259249768,-0.014702606375659032,10,True,,examples/Mt_Na_LC050_N20/rh_0p30_from_strict_rh09/restart.gcmc_rh0p30.32100000
Mt_Na_LC050_N20,0.10,rh0p10,True,44100000,102.0,49.0,53.0,12.022,2.900991224344483,-0.8536373805834655,3.754628604927935,0.0030711037465501437,6,True,,examples/Mt_Na_LC050_N20/rh_0p10_from_strict_rh03/restart.gcmc_rh0p10.44100000
